El || The
país || country
donde || where
más || Guaraní
se || is
habla || most
guaraní || widely
es || spoken
Paraguay. || is
Asunción || Paraguay.
es || Asunción
la || is
ciudad || the
capital. || capital
El || city.
guaraní || Guaraní
es || is
una || a
lengua || polysynthetic
polisintética. || language.
0.066667 el the
0.000000 el country
0.000000 el where
0.000000 el guaraní
0.000000 el is
0.000000 el most
0.000000 el widely
0.000000 el spoken
0.000000 el paraguay.
0.000000 el asunción
0.000000 el capital
0.066667 el city.
0.000000 el a
0.000000 el polysynthetic
0.000000 el language.
0.000000 país the
0.066667 país country
0.000000 país where
0.000000 país guaraní
0.000000 país is
0.000000 país most
0.000000 país widely
0.000000 país spoken
0.000000 país paraguay.
0.000000 país asunción
0.000000 país capital
0.000000 país city.
0.000000 país a
0.000000 país polysynthetic
0.000000 país language.
0.000000 donde the
0.000000 donde country
0.066667 donde where
0.000000 donde guaraní
0.000000 donde is
0.000000 donde most
0.000000 donde widely
0.000000 donde spoken
0.000000 donde paraguay.
0.000000 donde asunción
0.000000 donde capital
0.000000 donde city.
0.000000 donde a
0.000000 donde polysynthetic
0.000000 donde language.
0.000000 más the
0.000000 más country
0.000000 más where
0.066667 más guaraní
0.000000 más is
0.000000 más most
0.000000 más widely
0.000000 más spoken
0.000000 más paraguay.
0.000000 más asunción
0.000000 más capital
0.000000 más city.
0.000000 más a
0.000000 más polysynthetic
0.000000 más language.
0.000000 se the
0.000000 se country
0.000000 se where
0.000000 se guaraní
0.066667 se is
0.000000 se most
0.000000 se widely
0.000000 se spoken
0.000000 se paraguay.
0.000000 se asunción
0.000000 se capital
0.000000 se city.
0.000000 se a
0.000000 se polysynthetic
0.000000 se language.
0.000000 habla the
0.000000 habla country
0.000000 habla where
0.000000 habla guaraní
0.000000 habla is
0.066667 habla most
0.000000 habla widely
0.000000 habla spoken
0.000000 habla paraguay.
0.000000 habla asunción
0.000000 habla capital
0.000000 habla city.
0.000000 habla a
0.000000 habla polysynthetic
0.000000 habla language.
0.000000 guaraní the
0.000000 guaraní country
0.000000 guaraní where
0.066667 guaraní guaraní
0.000000 guaraní is
0.000000 guaraní most
0.066667 guaraní widely
0.000000 guaraní spoken
0.000000 guaraní paraguay.
0.000000 guaraní asunción
0.000000 guaraní capital
0.000000 guaraní city.
0.000000 guaraní a
0.000000 guaraní polysynthetic
0.000000 guaraní language.
0.000000 es the
0.000000 es country
0.000000 es where
0.000000 es guaraní
0.066667 es is
0.000000 es most
0.000000 es widely
0.066667 es spoken
0.000000 es paraguay.
0.066667 es asunción
0.000000 es capital
0.000000 es city.
0.000000 es a
0.000000 es polysynthetic
0.000000 es language.
0.000000 paraguay. the
0.000000 paraguay. country
0.000000 paraguay. where
0.000000 paraguay. guaraní
0.066667 paraguay. is
0.000000 paraguay. most
0.000000 paraguay. widely
0.000000 paraguay. spoken
0.000000 paraguay. paraguay.
0.000000 paraguay. asunción
0.000000 paraguay. capital
0.000000 paraguay. city.
0.000000 paraguay. a
0.000000 paraguay. polysynthetic
0.000000 paraguay. language.
0.000000 asunción the
0.000000 asunción country
0.000000 asunción where
0.000000 asunción guaraní
0.000000 asunción is
0.000000 asunción most
0.000000 asunción widely
0.000000 asunción spoken
0.066667 asunción paraguay.
0.000000 asunción asunción
0.000000 asunción capital
0.000000 asunción city.
0.000000 asunción a
0.000000 asunción polysynthetic
0.000000 asunción language.
0.000000 la the
0.000000 la country
0.000000 la where
0.000000 la guaraní
0.066667 la is
0.000000 la most
0.000000 la widely
0.000000 la spoken
0.000000 la paraguay.
0.000000 la asunción
0.000000 la capital
0.000000 la city.
0.000000 la a
0.000000 la polysynthetic
0.000000 la language.
0.066667 ciudad the
0.000000 ciudad country
0.000000 ciudad where
0.000000 ciudad guaraní
0.000000 ciudad is
0.000000 ciudad most
0.000000 ciudad widely
0.000000 ciudad spoken
0.000000 ciudad paraguay.
0.000000 ciudad asunción
0.000000 ciudad capital
0.000000 ciudad city.
0.000000 ciudad a
0.000000 ciudad polysynthetic
0.000000 ciudad language.
0.000000 capital. the
0.000000 capital. country
0.000000 capital. where
0.000000 capital. guaraní
0.000000 capital. is
0.000000 capital. most
0.000000 capital. widely
0.000000 capital. spoken
0.000000 capital. paraguay.
0.000000 capital. asunción
0.066667 capital. capital
0.000000 capital. city.
0.000000 capital. a
0.000000 capital. polysynthetic
0.000000 capital. language.
0.000000 una the
0.000000 una country
0.000000 una where
0.000000 una guaraní
0.000000 una is
0.000000 una most
0.000000 una widely
0.000000 una spoken
0.000000 una paraguay.
0.000000 una asunción
0.000000 una capital
0.000000 una city.
0.066667 una a
0.000000 una polysynthetic
0.000000 una language.
0.000000 lengua the
0.000000 lengua country
0.000000 lengua where
0.000000 lengua guaraní
0.000000 lengua is
0.000000 lengua most
0.000000 lengua widely
0.000000 lengua spoken
0.000000 lengua paraguay.
0.000000 lengua asunción
0.000000 lengua capital
0.000000 lengua city.
0.000000 lengua a
0.066667 lengua polysynthetic
0.000000 lengua language.
0.000000 polisintética. the
0.000000 polisintética. country
0.000000 polisintética. where
0.000000 polisintética. guaraní
0.000000 polisintética. is
0.000000 polisintética. most
0.000000 polisintética. widely
0.000000 polisintética. spoken
0.000000 polisintética. paraguay.
0.000000 polisintética. asunción
0.000000 polisintética. capital
0.000000 polisintética. city.
0.000000 polisintética. a
0.000000 polisintética. polysynthetic
0.066667 polisintética. language.
